State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Patiala,Samana,Onion,Other,FAQ,16/09/2025,1200,1600,1400
Rajasthan,Chittorgarh,Kapasan,Wheat,Lokwan,FAQ,16/09/2025,2350,2550,2450
Rajasthan,Dungarpur,Dungarpur,Onion,"1st Sort",FAQ,16/09/2025,2500,3000,2800
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Apple,Apple,Medium,16/09/2025,6300,6700,6500
Rajasthan,Ganganagar,"Sriganganagar (F&V)","Mousambi(Sweet Lime)",Mosambi-Organic,Medium,16/09/2025,3800,4200,4000
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Potato,Other,FAQ,16/09/2025,900,1300,1100
Telangana,Karimnagar,Huzzurabad,Paddy(Dhan)(Common),MTU-1010,FAQ,16/09/2025,2320,2320,2320
Tripura,"North Tripura",Dasda,Brinjal,Round/Long,FAQ,16/09/2025,3000,3500,3250
Tripura,"North Tripura",Dasda,Potato,Local,FAQ,16/09/2025,1700,1900,1800
"Uttar Pradesh",Badaun,Babrala,Potato,Other,Non-FAQ,16/09/2025,680,700,690
"Uttar Pradesh",Bareilly,Anwala,"Bottle gourd","Bottle Gourd",FAQ,16/09/2025,1200,1500,1400
"Uttar Pradesh",Bareilly,Anwala,"Green Chilli","Green Chilly",FAQ,16/09/2025,2000,2500,2200
"Uttar Pradesh",Bareilly,Anwala,Pumpkin,Pumpkin,FAQ,16/09/2025,1000,1200,1100
"Uttar Pradesh",Bareilly,Anwala,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,16/09/2025,1200,1500,1400
"Uttar Pradesh",Bulandshahar,Gulavati,Cucumbar(Kheera),Cucumbar,FAQ,16/09/2025,1300,1500,1400
"Uttar Pradesh",Bulandshahar,Gulavati,Ginger(Green),"Green Ginger",FAQ,16/09/2025,6100,6300,6200
"Uttar Pradesh",Bulandshahar,Gulavati,Lemon,Other,FAQ,16/09/2025,7100,7300,7200
"Uttar Pradesh",Bulandshahar,Gulavati,Potato,Desi,FAQ,16/09/2025,1200,1400,1300
"Uttar Pradesh",Hathras,Sikandraraau,Potato,Desi,FAQ,16/09/2025,640,800,700
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,"Bottle gourd","Bottle Gourd",FAQ,16/09/2025,1900,1960,1930
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,Lemon,Lemon,FAQ,16/09/2025,4100,4160,4130
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,"Pointed gourd (Parval)",Other,FAQ,16/09/2025,2100,2160,2130
"Uttar Pradesh",Maharajganj,Nautnava,"Banana - Green","Banana - Green",FAQ,16/09/2025,1100,1200,1160
"Uttar Pradesh",Maharajganj,Nautnava,Brinjal,Round/Long,FAQ,16/09/2025,1500,1800,1600
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,"Bhindi(Ladies Finger)",Bhindi,FAQ,16/09/2025,900,1200,1000
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,"Bitter gourd","Bitter Gourd",FAQ,16/09/2025,1000,1200,1100
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,"Bottle gourd","Bottle Gourd",FAQ,16/09/2025,900,1100,1000
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Brinjal,Brinjal,FAQ,16/09/2025,800,1000,900
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Potato,Desi,FAQ,16/09/2025,800,1000,900
"Uttar Pradesh",Shamli,Kairana,"Bottle gourd","Bottle Gourd",FAQ,16/09/2025,1200,1300,1250
"Uttar Pradesh",Shamli,Kairana,Raddish,Raddish,FAQ,16/09/2025,700,800,750
"West Bengal",Jhargram,Jhargram,Brinjal,Round/Long,FAQ,16/09/2025,5000,5500,5200
"West Bengal",Medinipur(W),Ghatal,"Bhindi(Ladies Finger)",Bhindi,FAQ,16/09/2025,3800,4000,3900
"West Bengal",Medinipur(W),Ghatal,Potato,Jyoti,FAQ,16/09/2025,1300,1400,1350
"West Bengal",Medinipur(W),Ghatal,"Sweet Pumpkin",Other,FAQ,16/09/2025,2300,2500,2400
